geo,pop,1-27,1-27_ratio,28-52,28-52_ratio
FRB,2565258,589.1999999999998,22.968449957080335,1393.2,54.310326680591196
FRB0,2565258,589.5999999999999,22.98404293057462,1393.6000000000001,54.32591965408548
FRC,2793333,1100.2,39.386639544945055,2492.8000000000006,89.24106076862303
FRC1,1619728,407.00000000000006,25.12767575790504,1458.8000000000002,90.06450465757216
FRC2,1173605,693.4000000000001,59.08291120095774,1035.2,88.20684983448436
FRD,3313340,510.80000000000007,15.416467974913532,2112.4,63.75439888450929
FRD1,1464500,96.20000000000005,6.568794810515538,764.4,52.19528849436667
FRD2,1848840,414.80000000000007,22.435689405248702,1348.7999999999997,72.95385214512882
FRE,5977437,1962.6,32.83347026493127,3622.2,60.59787832142773
FRE1,4052299,585.3999999999999,14.4461205848828,2827.8,69.78260982222685
FRE2,1925138,1377.9999999999995,71.57928418638039,796.2,41.358074070534165
FRF,5525291,4628.200000000001,83.76391397303782,2732.6,49.45621868603843
FRF1,1894144,2455.2,129.6205568320043,440.7999999999999,23.271725908906603
FRF2,1314964,445.20000000000005,33.85644017630901,648.8000000000001,49.3397537879364
FRF3,2316183,1728.2,74.61413886553869,1644.6,71.0047522151747
FRG,3787400,625.4,16.5126471986059,1522.8000000000002,40.20700216507367
FRG0,3787400,625.4,16.5126471986059,1523.0,40.21228283255004
FRH,3333720,111.20000000000027,3.335613068884018,811.4,24.339176655507963
FRH0,3333720,112.20000000000027,3.3656095892876507,812.3999999999999,24.36917317591159
FRI,5986318,-524.1999999999996,-8.75663471268983,2792.8000000000006,46.65305117436128
FRI1,3450045,-237.9999999999999,-6.898460744714921,1521.0000000000002,44.08638148198068
FRI2,729981,-229.59999999999988,-31.452873430952298,362.19999999999993,49.61772977652842
FRI3,1806292,-55.599999999999966,-3.0781291175513132,911.3999999999999,50.456958232666686
FRJ,5899209,19.39999999999975,0.32885764854236815,3547.6,60.1368759777794
FRJ1,2838966,307.5999999999999,10.834930745912418,1778.4,62.64252548286947
FRJ2,3060243,-287.19999999999976,-9.384875645496118,1769.9999999999995,57.83854419403948
FRK,8005882,2187.8,27.327407523618263,9095.199999999999,113.60647084231317
FRK1,1362576,-320.39999999999986,-23.514284707788764,1620.8000000000002,118.95116309108631
FRK2,6643306,2509.4000000000005,37.77336163651051,7476.4,112.54035264971988
FRL,5048405,486.20000000000005,9.630764568215112,4065.4,80.52840451588175
FRL0,5048405,486.20000000000005,9.630764568215112,4066.8000000000006,80.5561360469297
FRM,341554,53.800000000000004,15.751535628334029,167.19999999999993,48.952727826346624
FRM0,341554,54.2,15.868647417392273,167.79999999999995,49.128395509933995
FRY,2190929,507.79999999999995,23.177382744945177,894.0,40.80460845604764
FRY1,416474,159.39999999999998,38.27369775784322,345.80000000000007,83.03039325384059
FRY2,363484,72.6,19.973368841544605,224.8,61.84591343773041
FRY3,283539,-18.199999999999996,-6.4188700672570596,53.0,18.69231393212221
FRY4,857961,139.0,16.201202618767052,191.19999999999996,22.285395256893956
FRY5,269471,154.99999999999997,57.52010420416296,79.2,29.390917761094887
HR,4076246,-1511.6000000000004,-37.08313973199852,5144.6,126.20926214953663
HR0,4076246,-1511.6000000000004,-37.08313973199852,5144.6,126.20926214953663
HU,9772756,-2932.7999999999997,-30.009958296308636,11920.800000000001,121.97992050553601
HU1,3031160,-287.19999999999993,-9.474920492484722,2085.9999999999995,68.81853811742037
HU11,1752286,-16.40000000000009,-0.9359202778541911,1034.6,59.04287313828906
HU12,1278874,-270.79999999999995,-21.17487727485272,1051.3999999999999,82.21294670155152
HU2,2927175,-742.0000000000002,-25.348672354744767,4178.0,142.7314731780642
HU21,1058236,-117.00000000000003,-11.056134926424733,1361.9999999999998,128.70475016914938
HU22,989343,-225.60000000000002,-22.803011695640443,1734.6,175.32847556408646
HU23,879596,-399.4,-45.40720967353194,1081.4,122.94280556073471
HU3,3814421,-1653.2000000000003,-43.340784879277884,5908.599999999999,154.90162202861194
HU31,1126360,-693.0000000000001,-61.52562235874854,1876.2,166.57196633403174
HU32,1450960,-390.2,-26.89254011137454,2188.2,150.81049787726747
HU33,1237101,-569.9999999999999,-46.0754619065056,1844.2000000000003,149.07432780346957
HUX,0,0.0,,0.0,
HUXX,0,0.0,,0.0,
IS,356991,12.599999999999987,3.5295007437162247,37.4,10.476454588491027
IS0,356991,12.599999999999987,3.5295007437162247,37.4,10.476454588491027
IS00,356991,12.599999999999987,3.5295007437162247,37.4,10.476454588491027
IT,60359546,42267.6,70.02637163639368,36694.4,60.79303512322641
ITC,16093286,32970.200000000004,204.8692852410627,13379.8,83.13901834591145
ITC1,4356406,4803.6,110.26520485005301,4981.0,114.3373689229149
ITC2,125666,120.0,95.49122276510751,200.79999999999998,159.7886460936132
ITC3,1550640,1610.6000000000004,103.86679048650883,1468.6,94.70928132899962
ITC4,10060574,26435.999999999996,262.7683072556297,6729.4,66.88882761560126
ITF,13957942,820.5999999999999,5.879090198254154,6682.000000000001,47.87238691778488
ITF1,1311580,259.39999999999986,19.777672730599722,327.00000000000006,24.931761692005068
ITF2,305617,-32.000000000000014,-10.470621725885673,154.40000000000003,50.520749827398355
ITF3,5801692,-590.0,-10.169447119909158,3213.0,55.380395925878176
ITF4,4029053,1205.2,29.912736317938734,2314.6000000000004,57.447742682958015
ITF5,562869,-10.199999999999989,-1.812144566497709,178.0,31.62369929770515
ITF6,1947131,-11.799999999999898,-0.6060198312286075,494.99999999999994,25.422018343912143
ITG,6639482,-478.39999999999986,-7.205381383668181,3804.3999999999996,57.299650786010105
ITG1,4999891,-715.8000000000002,-14.316312095603688,2485.8,49.71708383242755
ITG2,1639591,237.39999999999998,14.479220732487551,1318.5999999999997,80.42249561018569
ITH,11652827,8418.600000000002,72.24512987277681,6225.200000000001,53.42222964436012
ITH1,531178,503.00000000000017,94.69518692415728,335.4,63.14267533670446
ITH2,541098,618.9999999999999,114.39702235084955,465.6,86.04725946131755
ITH3,4905854,2081.3999999999996,42.42686390585614,2745.0,55.95356078676618
ITH4,1215220,146.8000000000001,12.080117180428243,645.4000000000001,53.10972498806801
ITH5,4459477,5068.399999999999,113.65458326166944,2033.7999999999997,45.60624485786113
ITI,12016009,536.599999999999,4.465709038666657,6603.000000000002,54.95168986641073
ITI1,3729641,301.80000000000007,8.09193163631567,2631.4000000000005,70.55370744798228
ITI2,882015,-137.99999999999997,-15.645992415094979,499.8,56.66570296423531
ITI3,1525271,1078.6,70.71530239544316,706.8,46.33930626098575
ITI4,5879082,-705.7999999999995,-12.005275653579922,2765.0000000000005,47.03115214246034
LI,38378,2.6000000000000005,6.774714680285581,43.60000000000001,113.60675386940437
LI0,38378,2.6000000000000005,6.774714680285581,43.60000000000001,113.60675386940437
LI00,38378,2.6000000000000005,6.774714680285581,43.60000000000001,113.60675386940437
LT,2794184,-945.4000000000004,-33.834564939173674,3518.0,125.90437852339001
LT0,2794184,-945.4000000000004,-33.834564939173674,3518.0,125.90437852339001
LT01,810538,-106.19999999999999,-13.10240852372128,794.8000000000002,98.0583266916542
LT02,1983646,-839.2,-42.30593563569307,2723.2000000000003,137.28255948894108
LU,613894,36.2,5.8967834837936195,420.59999999999997,68.51345672054133
LU0,613894,36.2,5.8967834837936195,420.59999999999997,68.51345672054133
LU00,613894,36.2,5.8967834837936195,420.59999999999997,68.51345672054133
LV,1919968,-972.8000000000001,-50.66751112518543,845.2,44.021567026117104
LV0,1919968,-1039.8000000000002,-54.15715261921033,777.2,40.47984133068885
LV00,1919968,-1039.8000000000002,-54.15715261921033,777.2,40.47984133068885
ME,622182,-168.39999999999992,-27.066035340141617,270.6,43.49209716770977
ME0,622182,-168.39999999999992,-27.066035340141617,270.6,43.49209716770977
